id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
22,1,1845.88745458623,822.670647041514,143.097539754308,106540.403766017,16979.8936265004,2327.84575118097,15.5032744092848
40,2,1830.18387188934,855.283335497381,111.181040470828,104349.663638997,18775.0424084901,2929.00758452768,12.7653403045257
41,2,1810.47054615049,2198.94579632334,140.664454920929,133094.925672479,17350.7210675055,2264.34306904654,11.7065815915825
57,3,1798.84975747337,749.446500743165,138.599561670519,131216.609003574,18284.6377767559,2237.72985041088,11.426453036844
58,3,1822.5623497434,2203.32837556192,100.949897222585,76149.1383767518,18511.0566157776,2788.08376507407,14.1577399219782
78,4,1767.50756322172,643.017573219535,160.045843165556,114171.252468999,18350.7115392084,2742.91985309518,20.9116477703674
79,4,1796.81262902517,2203.54996035534,166.968726443825,151044.918172312,17457.7742342614,3080.81148663153,19.2006022394347
94,5,1796.88789128439,2174.71888395535,128.399174894653,82296.1270264838,17851.173247226,2746.88144906055,19.4961073030827
308,24,2831.05709540436,746.956374330128,113.269675521131,69310.9094859902,17674.7836664927,2336.49733886319,15.8292901298603
330,27,1779.89405190956,714.936212916904,137.854555324023,104405.112433592,18764.5859251613,3110.20762430076,19.7500255370864
624,68,2801.4204755633,748.333102046121,138.557456073294,91150.966583719,16954.7065386324,3211.59545975423,23.5715020124734
662,75,2708.41608327499,2218.29132194936,149.71539214387,101161.736705341,16204.80023242,2188.00639945795,16.6626941904751
667,76,2740.39542266071,2194.77349782601,140.760686747697,161609.624363038,16285.7222909263,2630.84859247572,11.2129252082908
742,90,2764.54642902823,791.8060438268,124.675548831657,84943.2046366788,16584.7164961024,2730.3940647552,17.8259795694479
761,93,2793.40383502332,765.351863445436,134.974926705938,80918.3810037795,16997.1470336957,2481.93692135183,19.5844010495849
819,101,2722.15208686631,2228.56486809741,114.06588957854,148089.694070079,17996.8888817216,2468.53615372088,7.92712990923457
908,116,2715.0390670648,2216.90541453387,126.727634401689,123988.409452515,16683.6191657112,2508.54089577855,11.552840437161
913,117,2022.22154819065,1877.10575707436,97.2021016021793,75457.4469349719,16722.6820531729,2443.50508690833,11.7714359456271
914,117,2703.75117331547,2198.38661475995,131.564790140686,141422.521947025,16807.3553731228,2338.84126897399,10.0947631567861
923,119,2709.5454298567,2207.70583841497,136.08558936686,108922.711419507,17180.5677078166,2621.89266686083,15.5981161388929
929,120,2703.88547052176,2204.94126548058,144.504935909374,169774.543161399,16752.1377466211,3074.95104292243,13.0779255101672
934,121,2717.82899335596,2201.54837197878,137.958587927614,137600.449636094,17018.8161789127,2896.96123588621,13.9808973249804
956,124,2696.13455248335,2182.24643172422,145.657539757409,99866.5676543695,16480.0255798538,2424.27095712744,17.7847071767979
1035,144,2710.0417512082,2214.16152503224,122.28376167866,155407.608967123,17165.6750475208,2358.55660573811,8.1434415802256
1044,145,2676.30774030018,2200.44205710035,115.478170137025,117185.315311425,16122.351362618,2005.62256446062,8.31683816384959
1052,146,2726.46433511069,2189.86211748139,130.063667846153,117809.911144306,16926.893769767,2696.07319400709,13.6794247555577
1059,147,2724.58202110189,2242.72054751906,149.595034847527,141304.119659833,16821.1761822553,2236.21005969472,12.1770154565923
