id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
140,9,31.8545418485974,803.329295714373,131.009663331676,120967.595507566,20558.7218913474,2961.3689735965,14.8202686281591
155,10,21.2769802126604,805.783341798046,139.923491811806,161684.116802921,19944.6525222389,2891.4925816776,12.1835751324676
166,11,7.88729834217702,773.259681161691,115.507975481263,102893.666992077,20606.9751695487,3296.23174384962,15.5507071089581
175,12,18.8337451492298,788.797257026157,125.262935674832,88525.189677474,21372.6652827953,3337.61113792492,21.0759435541883
187,13,11.2549930110054,814.694214975241,133.223683437132,117759.912422353,20895.5572328322,3039.75939550925,16.0993772521252
228,17,30.8045806112368,808.541861602078,120.912352375961,97829.8177299741,20256.7409180375,3049.19402632176,16.3799920741117
240,18,31.4732892088614,791.182211956353,166.428949214478,104370.791092678,20672.3321608085,2742.90115331992,24.5912265178931
253,19,46.4279779518056,801.989170997214,103.625520296418,78409.534608396,19829.3018520034,2978.70447702375,15.3399370606101
267,20,52.675076963922,800.773017883927,119.49082278477,118486.217444679,20787.0624595325,3248.4520021515,14.114468536057
278,21,36.5673073459602,804.875067541801,132.838788820069,124452.709080156,19795.0229390494,3112.05154563165,15.5154568134888
584,62,34.5025425066997,763.073746518528,140.106106358032,119849.390650008,19560.279904903,2947.17780550485,16.7882499918975
590,63,22.4562421089013,799.917101593277,139.723502539328,107962.448029926,19058.5424156737,2960.56697440282,18.6280861507616
1133,162,1424.19946120516,1325.46339001626,135.797926570552,214876.696158243,19398.0093224422,3092.98222838245,9.29393244225938
1137,163,1461.87921452543,1332.1599423367,121.457386418178,194873.157909636,19075.3374447687,2652.14469620422,7.21597640485546
1687,248,564.017438982568,117.186637787749,186.006556470328,148997.71176142,19165.229733764,2745.16863479775,21.2289150767668
1691,249,520.663737980545,141.935881455292,149.300365453853,87311.0868240006,19235.5624866288,3562.53115443461,31.2488982649671
3101,523,920.174360436678,1825.45418186879,176.225787898639,122894.941063772,17397.7926498093,2742.92303609451,23.2354138744998
3154,535,896.880585656743,242.862568814695,170.246207148541,124716.632362353,19406.9010066478,2931.54958448827,22.9415127731813
3303,573,900.09541515688,250.945064473823,188.107452106377,131824.827935104,17937.1732821414,3339.40341178283,29.8034186754919
3587,632,1432.75326814419,1174.42617139267,126.783139876736,83091.7708773721,17253.7198563425,2303.02344841717,15.836683285694
3649,650,2926.94006797808,1928.36711837272,169.793491916398,106752.508098,20065.9119148632,2919.09402155035,26.5547343782116
3678,658,2923.85252593106,1885.29609714935,213.062605969922,290641.299179749,19985.3801798759,3926.96744744407,20.1378878165397
3684,659,2889.82786425413,1924.55860905069,180.89385343348,168263.321670534,20990.2833608789,3438.90780244613,22.3406340900877
3997,751,608.059696965318,2681.55870510931,127.066493874101,97005.4950177245,22028.5053753782,3426.43678582037,20.2493131473787
4000,752,593.241608847697,2696.38096669761,137.91189264648,102301.706503915,22094.4358916242,3589.96603628346,23.2779764247962
4064,773,581.794055024737,2689.39554717186,119.818689216569,90124.2637114229,20916.4829865049,2882.01945554172,16.5425501018312
4348,857,422.457711166326,1610.73740297608,129.606373657712,84416.8474233954,16841.0647612595,2182.87423763571,15.3639630085519
4350,859,440.55366410038,1662.27287724296,107.372126790157,76096.273665469,16940.8525914408,2685.07976907232,15.1254098439097
5248,1063,238.999275722459,1441.62715157725,175.359811875071,138674.517177222,20095.916783916,3039.80061800518,22.6086656905288
5782,1162,221.025351788081,1418.66378611618,200.986258407635,150213.660882432,18030.7409036598,3323.61957852283,29.5084038471578
6974,1381,1695.9809667131,220.88858847431,183.668530541584,156062.280333862,19412.2926956244,2948.92543239808,21.2582942452139
6983,1382,1661.80341826237,218.242611303602,130.822578925613,128924.654538695,20567.6067784525,2943.79969100824,13.7887729534084
6989,1383,1617.78445055598,221.460843828419,134.848484431515,86798.0904600945,19691.4265864865,2740.6477153204,20.124320433285
