id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
19,2,367.73643874978,1361.88119716232,191.218848682491,122075.708848909,6314.91765064858,1671.28136884404,16.6349187958116
28,3,419.729659127071,1396.75812777382,186.794615345739,101830.02642534,6755.97309391367,1535.2325873134,17.5294359471502
42,5,1586.28125574991,2075.06761787252,112.180553710023,34161.9717599862,6121.85428866282,1230.07932427636,16.6521974244517
58,7,1585.05426763249,2033.98059948128,104.380162690682,38226.4628582934,6039.99755330538,1334.45600109863,14.2912466478585
222,23,418.20891313328,1389.77955036048,121.045339819611,63532.6981644635,6286.89857947424,1591.5010075022,13.2074362222678
232,24,412.56953573817,1375.83119955786,151.263294949657,75271.698392875,5959.31662582106,1731.35229793402,18.0626622015337
238,25,443.812700299812,1392.2141925516,256.933354450802,164243.18798291,4642.64962738217,1758.56386574992,22.9020792076863
239,25,569.405953360441,2652.06257744865,130.265294944924,77462.596797431,7025.77952936687,2302.30021334173,17.8155033872658
247,26,394.746213705235,1358.86349936325,192.405914808324,145186.669685624,5727.27859663842,1832.61916690749,15.5158605437269
252,27,413.437026797827,1344.94725450881,165.919025620553,108860.97559832,5708.0190756462,1532.8834793971,13.1210598413004
257,28,405.635995513094,1379.64746676673,151.224396224202,104367.004372352,6497.08211466432,1828.31822192617,13.7526192290913
261,29,392.792081930238,1362.47573356807,171.223650269268,135441.214092399,5718.71683086019,1926.34539976103,14.0436177599888
267,30,433.713041633182,1409.68331631212,167.676784797355,96443.9824211735,5667.77802112292,1714.75994181148,16.8857112606367
422,57,2976.16338986529,2148.46060746287,117.171025560776,137962.540175627,6828.99660213462,1731.67562138089,6.26136367625079
429,58,2995.0664322178,2142.39439900824,114.754393377783,91024.9276769227,6252.51812541292,1532.23893043074,8.09879325362575
626,91,2856.20093356278,1587.46319742579,114.391699927502,27719.1233470741,6859.13043996076,1354.38423833549,23.3511991773047
634,92,2875.29131359931,1554.3217751796,207.412092484905,87433.7844854911,6790.54641633987,1545.67140100509,25.0581563135156
642,93,2831.11367960376,1519.10933394554,235.697579399345,107131.221462729,6877.30035180537,1635.45117309659,27.6405778401137
655,95,2880.31574214466,1626.88829933911,329.040761443963,175415.026517602,4974.37829593053,1386.45774131407,27.3968706704842
670,97,2827.43039001727,1549.15883415874,121.331646509007,33692.9132539338,6244.6784970456,1284.90709821503,20.1900711162681
680,98,2897.19159934842,1578.47540568665,183.840654807981,74252.3675637383,6493.888628848,1673.21876921983,25.4135312201554
696,101,2886.27113567928,1494.44937737802,166.855939131599,47570.6400298411,6165.7422543526,1468.85783292741,29.0542080063082
