id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
173,5,1155.47752011723,354.793053360827,158.296783540628,146433.028777259,8432.94542920368,2187.32836814604,12.7498352609114
208,6,1177.54210777185,352.460039978041,175.024267352988,119134.076696229,7739.36264685345,2199.32462982404,18.9818662867002
239,7,1142.93364377074,339.153525071693,166.957531123606,180690.551442469,8657.76523287889,2394.83554337949,12.4830293469649
271,8,1139.43841087208,352.319592585291,160.174512448833,62422.8239655462,8060.67979618988,1308.06544919246,18.2926023901204
299,9,1141.09972803058,371.32497783496,192.339994955431,165378.204088058,7924.79233428195,2230.27678561342,16.5597335868964
333,10,1192.94851510974,342.462633101597,159.495989401589,115873.126976994,7869.39507765061,2422.58836632457,18.0873331230014
366,11,1215.65571864584,319.752542915889,182.833363610315,96778.0005031447,7622.3461291156,1653.55136010784,19.0758341984845
398,12,1146.2810972516,321.627925171457,170.481488556691,206596.997000978,7966.79572120897,2112.53799646415,10.0173441972419
427,13,1129.17511150071,326.449967110293,157.966038218095,123426.017403677,7405.16478762582,1877.3155124278,12.9363265835079
456,14,1176.74858626013,345.774360769043,218.408628423586,111784.397873624,7041.84143146213,2136.04847593458,29.8764319361359
481,15,1156.15565921376,321.833492479598,159.45456480224,132335.680646616,7820.75517106673,1846.41809458901,12.0752595005925
510,16,1178.36126017597,355.968412703955,183.379043268427,91261.158441044,6897.60246722521,1694.42050894684,20.842889895844
541,17,1141.26856905273,320.973678930333,164.829751437849,130643.240249318,7333.36537049349,1994.85269320394,14.0461441379198
563,18,1148.53571066354,353.239283759187,150.285892408917,100975.316923177,7415.08729762967,1896.02390316229,14.5721131660451
967,35,1207.45939903379,226.580553894551,95.8766269345869,71103.913198849,7602.91528591142,1926.82903415021,9.64019681546155
1129,41,2446.98871048003,1396.97031284836,145.505868937878,79041.5487667677,7549.09829885598,1339.26689047153,12.4106353331822
1179,43,2438.77886907326,1413.47139724944,125.103443927861,60441.8547948248,8116.28275560642,1520.68623038232,14.0549332474973
1205,44,2418.23459528186,1456.52365787372,136.320063963766,79983.2449292622,7740.81929315385,2084.92531702622,16.9485409967952
1237,45,2401.92697575647,1417.1326934831,126.187210620023,79224.3045671735,8364.38118139846,2000.24210665093,14.3113843205889
1272,46,2428.95808164164,1416.61335926541,128.698303196564,86566.6920601261,7748.77769519582,1967.45086598596,13.3408678107896
1306,47,2425.27454680079,1422.32933263544,121.987635137014,62778.6734530698,7595.18797079317,1936.92173623103,16.4780259878677
1338,48,2392.81923142971,1466.27232575769,229.932009956122,105202.623581516,7385.29444082607,1813.53042086427,29.7533629000417
1365,49,2415.35240686546,1392.55292079313,150.901024771392,82802.3404770396,7646.74465691844,1755.39899188381,16.5760150615796
1394,50,2416.62855809346,1435.59319155168,109.871565324087,57838.6703269569,7965.21954672901,1618.98830823844,12.4900509549704
1423,51,2433.64758887372,1457.78356198069,153.725283339672,88005.8099958323,8068.95882372425,1520.7204958002,13.98492532524
1449,52,2388.89774989153,1431.28821495747,149.305318017166,108578.732996803,7548.34589204208,1993.69833198898,14.0795665939868
1471,53,2420.5385510197,1425.68951255741,129.10182345979,64384.6836375615,7569.47105273346,1599.38477980902,14.6675685166192
1493,54,2418.31344609074,1411.20087605842,155.509142488028,94308.6305320259,7336.20486026978,1850.16621259373,16.2076787462702
1516,55,2407.73878506819,1430.10862074598,137.607117061858,80336.8956066697,7867.55087489828,1677.26177032402,13.81435430789
1542,56,2346.71329829132,1416.81186051023,144.132040079457,62130.8171860352,7996.37495720328,1657.03507039766,19.1805053620431
1566,57,1181.90176762651,194.228425204952,130.944342238938,80489.8975677897,7278.14123843934,1714.61789142206,12.8986055793842
1568,57,2448.13874496547,1418.72648754251,137.789319161789,64768.3034824746,7969.18861869805,1576.83062660161,16.1466180704266
1595,58,1159.93063586183,226.287635613642,134.410668219178,80525.8296185465,7315.26267169697,1618.61332859505,12.7535786348743
1597,58,2446.36583332127,1423.94827732496,153.055044571958,96986.8841064914,8367.59133965117,1892.30844689708,15.6551116575661
1622,59,1172.87054661568,271.115235210051,172.272280853649,196956.304205893,8211.12348401019,2321.3255654097,11.768861845476
1623,59,2427.20420053772,1403.31213039262,135.065086697667,77058.3093208619,8097.52400943718,2050.22655379334,17.0151138951734
1649,60,1186.99379941777,258.323645591527,143.240642858951,135468.422068679,8626.0712730982,2862.76343463249,15.0175702218798
1650,60,2397.92477387688,1448.41340220819,136.363852441384,71175.0337259749,8248.46961285495,1740.21088734607,15.9124168558905
1677,61,1183.95848217232,275.645637121133,163.965198585161,226704.644733774,8131.76446967897,2336.83321538993,9.39145328492125
1678,61,2392.24709490236,1428.61315639403,125.452632548345,51323.5220812054,8219.70906218281,1918.95355631182,20.971411028408
1706,62,1174.45092168269,287.585301078916,146.104653870533,155815.509383726,8258.38466775522,2252.64401200386,10.657152485373
1707,62,2400.15840463021,1433.15207545756,111.694597961773,55806.0565075342,8242.76290826028,1304.68310158308,10.7380926264905
1733,63,2391.65866312523,1465.57139614727,140.291826714499,52228.4439633963,8113.07309681076,2045.53615327645,26.8080028950222
1761,64,1207.09986658724,288.023837266228,188.265646376806,119134.444424519,7651.26167397599,2459.06761710715,24.3322558534527
1762,64,2441.8464833067,1406.04830157336,149.934064149037,87653.6643320138,7897.28157986138,1847.70736859307,16.2881269049133
1793,65,1195.72630306539,301.730068655175,161.417074014937,160540.614780067,7663.81668490971,2398.28544099121,13.2162732980521
1822,66,1168.24362996923,313.797833902003,186.150960117286,147738.581519095,7377.04311714779,2232.71842468505,17.4455291266574
1855,67,1973.97012727946,1905.85803992708,100.005301865685,41771.4183999524,7632.76375563468,1770.81290885976,16.1504651934454
1887,68,2526.2581516981,830.746640745478,125.038557051318,141003.600936859,7673.9515449289,1717.85601366237,6.80628214836567
1914,69,2522.63577377151,845.885122046897,115.499968006034,133348.661155149,8423.84684515852,1489.68659949621,5.44190928357528
1942,70,2548.95739674758,856.679451803637,127.332511448568,168575.639999704,8129.27758255906,2188.5808343579,7.48246922288569
1968,71,2526.67694372929,860.172196007918,121.606837454468,133780.101864821,7840.95125930814,1635.9176520028,6.50807622232563
