id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
176,5,1686.14473464871,1431.17086059327,313.576369721576,238974.543263643,5746.58044349573,1838.42295203042,24.2551195735541
211,6,1639.17545096914,1458.77944796208,149.105044672728,64329.3910046285,8341.51248430558,2005.77203053231,23.8395195968493
242,7,1717.45289091648,1466.31452422326,185.476257606842,81118.7528800228,8513.22537876209,1825.50253775313,25.8022260936859
367,11,1279.06784150426,2869.39344787431,108.499532822843,54401.3603931051,7792.07918410074,1507.723836469,12.1086089660335
368,11,1649.81342608549,1408.07329885355,96.3824291333543,38746.1643141636,8559.58373927674,1644.08679979665,15.2209580714479
400,12,1656.41595055017,1465.77709368165,134.759495779058,58295.662494299,8565.75883443238,2250.46609088448,24.5788920464527
428,13,1653.16800535417,1476.54315944423,181.358110164929,74590.9836711797,7828.78282399561,1877.01055555895,27.6567255232816
457,14,1659.08412933569,1451.23481405121,131.055250073256,57632.8347707508,8312.04571296627,2093.14998942467,22.0052900309154
512,16,1699.8154156294,1452.50153890578,181.077212548727,79872.3715862694,7983.86056553255,1916.3880176344,26.2930982267844
542,17,1675.97836657809,1467.6255986248,85.9506307668954,35302.4257045709,9011.44023443071,1918.42036166849,16.2412250415152
564,18,1690.28972016862,1427.72627229993,162.087047287299,62992.8690605653,8172.36390419206,1517.01116538749,21.4780143249614
677,22,1692.66697400708,1440.75176140271,238.04046411849,116316.682443071,7197.57320952907,1807.73926033706,28.6758020776486
750,25,1581.0514767984,853.085528800711,138.942798971122,124577.48042329,7655.14577297582,1793.62936766783,9.69693031512459
1067,39,1642.52129656816,1353.64726643422,139.002091106827,75367.4336945156,7288.53074210804,1617.83678335079,14.4640283678297
1491,54,1305.78889472999,2864.01010089882,105.747412808133,63144.908314254,7303.31943773513,1577.31262748652,10.4518916841315
1886,68,2164.42582145878,2414.22671523442,115.518760262944,54282.7796177504,7066.37680544992,1457.41914972786,13.0563324838708
2045,74,1593.53255096878,1387.79561711971,124.340030004773,108086.14346362,7477.4464413583,1842.06730520605,9.41960975327845
2222,80,1326.75529032335,2870.22173691219,83.9037102736626,58800.5838483601,7424.32828856231,1342.50308621387,6.59227816974582
2429,88,2186.4300155634,2393.39803032409,120.183882485771,107785.476731228,7968.72627914791,1968.02785325319,9.50712943239227
2460,89,1593.34395216982,2225.63641750786,115.612296374047,122460.129709601,7191.4429813682,1442.21210928635,5.74633818696798
2487,90,1620.38495588866,2221.18640190815,111.456226204689,276443.36323848,8992.31284748829,2307.12709825293,3.82163353285806
2516,91,1597.82174924978,1360.10409454599,166.102876458028,83894.8023719564,6655.47948849927,1682.87670790017,18.718606251648
2517,91,1606.34915661063,2238.48803413883,116.235965681025,187355.205080064,7929.44524838713,2207.85574239556,5.794025805281
2544,92,1606.85655935984,1374.53418002326,128.669353734279,70691.8607611494,6754.6306663469,1742.79396463278,14.4678754315893
2545,92,1604.47689520603,2216.54960518692,113.04697718492,203234.724402318,8506.4058584228,2042.91343779171,4.71505414971173
2682,97,2173.16910303661,2411.02443028343,110.507450669798,62914.3091870049,7503.80070742013,1832.3249018583,13.1190340181942
2780,101,2068.01322980053,1407.46716554566,141.794429149101,184778.756912403,7581.70710597296,1770.30413568714,6.69881758947463
2781,101,2189.20395870381,2411.88503290291,147.461774374815,64572.4583712483,7183.4868397564,1524.92230414296,17.7081730132961
2806,102,2060.64827524611,1421.73652027755,142.176640876677,164376.898190379,6759.43689034304,1776.45803690981,7.59107010455982
3056,112,2165.23102321399,726.614649996543,128.150126625487,95219.2786443399,7345.19784753724,1681.49325394995,10.2950835553797
3421,127,2192.03545910991,2370.96018348947,130.133976025417,111214.023577179,7475.28635953105,1616.53147110712,8.71158770673346
3517,131,2176.88541259967,2409.63506918213,126.950384867916,49956.2702754353,7764.39677663731,1915.5418994889,21.9613662820813
3568,133,2158.52816162881,2387.65051089583,148.867332348923,74814.8696643075,7169.1301557224,1866.3315883361,19.0230880833145
3620,135,2191.80150400549,2379.48585682212,123.518430548915,131457.236971922,7745.55459582932,1669.68647886993,6.94529456845339
3762,140,1418.55472237127,2103.92581173444,141.176206558031,65860.6261548838,7460.45847818849,1513.3445106484,15.9230589014374
3793,141,1446.65018529922,2081.45573470018,108.131010773039,45289.3952844124,7378.51362620333,1664.85826399319,15.9588229956491
4030,150,2199.01328927956,2417.18326560135,164.154440193466,67360.6257948248,7060.70263276287,1804.28536341239,24.4459096016954
4148,154,1615.30643083238,2238.28553333156,111.164600794638,144604.040681162,7504.66842885562,1581.04790698368,4.98800850872389
4177,155,1631.93947620211,2236.97487695734,119.301396782481,249552.481109924,7467.69023028272,2052.47438002761,4.23517386752688
4198,156,1629.47484047507,2229.03688243441,111.916102760704,253892.338180412,7670.57295023673,2125.24741988325,3.86128023511962
4233,157,1626.38863983427,2227.39910216854,109.380362017559,197720.662407296,8018.90609289853,1803.22281123014,4.04827153967337
4930,183,713.96462149848,343.399341847693,169.891738273657,105865.412026883,5739.20974426183,2023.07650589706,18.5902861191472
4956,184,744.990587312877,348.653542225395,159.69332251513,205957.629236885,6665.38341273121,1830.61176114543,7.71945516681797
5030,187,2065.86947642006,1439.29352586334,140.307592728417,61643.276361845,6763.75938550423,1966.90747444502,21.848843099848
5059,188,2071.14339204341,1438.42221187094,140.449521446334,179530.463692345,7814.53119345414,2352.56403558003,8.99414017281739
5085,189,2081.65627197853,1427.23207897825,156.556646244119,184612.414334103,7456.86304980993,2065.64720648485,9.36273396893882
5115,190,2083.52561823447,1439.76314676013,132.790204106785,219767.496524977,8093.98455305144,2194.44291558951,6.20240165341762
5140,191,2084.12135128129,1441.57897741605,150.841971214065,198285.630251814,7913.00358405549,1885.24939642519,7.43605791203855
5174,192,2094.3311838235,1433.94771039657,131.861809087087,174716.714735387,8080.33261361397,2078.26579860644,7.29557973784682
5209,193,1634.86915437451,2235.46988585126,114.868312603179,232833.863292307,8218.32344369598,2008.00670190001,4.15988572232227
5241,194,1625.3417461898,2224.62025918223,121.241088355205,233957.66368146,7751.41794044669,2441.73453553987,5.52022442725662
5270,195,1625.95949115575,2227.2620545288,104.421057339602,197989.504791353,8138.64144964117,2170.8251548726,4.49567862947899
5293,196,1616.49973782072,2234.8423286265,105.397485797021,218662.948329373,8232.25151700729,2072.78258931,3.95024465519298
5325,197,1630.09073674607,2242.51019496464,113.817044703142,201044.35823567,7524.18026126797,1795.14898648254,4.2412658148554
5352,198,1627.92047250273,2231.62904346428,118.97278453807,205913.141920913,7492.03238026665,2106.86292442042,5.23975812944322
5370,199,1637.95664771047,2238.58138985376,109.584123732292,230326.667303952,8487.62269438397,2235.61280503532,4.31717246607353
5395,200,1622.47979408149,2236.55778769349,100.017633306658,138726.366828726,7641.56954072458,2024.16130337348,5.56774748615213
5609,208,2635.54668347416,1246.29052640806,111.74636808473,142692.34241613,7413.19979764867,1744.04362766573,5.62127462103854
5633,209,2630.06482673199,1252.10766910054,128.037174462293,167973.647581548,7623.25026336029,1733.6754328511,6.01407214193059
5660,210,2634.31246429019,1246.24950602755,133.051192041748,128211.489715401,7760.24260408999,1726.14797098985,8.39290668419275
5685,211,2625.21605819809,1262.36085620185,130.110135783751,129838.51812114,7203.56282964344,1822.04980532416,8.40548866986189
5718,212,2646.70970628719,1234.03472108931,137.152785931152,173704.882431294,7387.95989943344,1979.43952663131,7.49936629507655
5748,213,2609.27379103365,1282.51512711794,161.419366827002,78524.4672652777,6419.04868275422,1781.96362442636,20.0800773619958
6042,223,450.761119246601,1086.68588862353,126.233984827823,53046.8146010375,6948.28615449607,1481.54205730139,15.8499155688299
6075,224,460.446074024365,1041.7006523191,113.705511383104,109973.049671826,6960.71051236273,1574.78470254366,6.78394515414426
