id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
22,1,2362.1531049477,847.922406968879,100.600861362394,49414.8180236703,15589.566384216,2643.6020252183,20.5652849652504
66,2,2369.17835183098,96.6237807391917,136.035123416784,115629.154879192,14735.9480385745,2878.49278273617,16.1184081326975
804,27,1962.96734354445,2672.56256842817,115.834053751822,77150.7553734589,10376.4544181615,2097.59682978394,13.2725202878605
2261,81,1430.27051706865,2966.94267582957,132.503728504139,55077.8534577439,8364.03603729956,1864.20687704881,20.9175613412479
2361,85,1277.02742848626,1233.37343120963,133.82938765423,54071.986766291,10427.5608571346,2320.18814341134,26.9811815739078
2362,85,1422.66682004827,2949.21346244129,101.586204728781,42253.7658527183,9659.19525239355,2006.08658632741,18.5559311922063
2388,86,1332.19658956412,1232.244769424,145.17878080157,66155.3775681129,9343.76181768097,2198.61108437367,24.2019001233702
2414,87,1328.46249060765,1234.64376543261,151.381600045488,92199.9869749612,10483.8365728502,1613.90675763503,13.7718162192345
2443,88,1463.21488636893,2972.44051772018,134.179386096359,49268.7274731115,9146.27670498323,1654.60662135617,21.2300565672882
2742,99,1362.59816355968,1220.8852819578,156.604241736607,82354.0406031111,9888.41817161839,2671.91263095126,27.128820093162
3312,122,1447.6916180535,2996.28415875283,147.629797939764,208619.324535368,8912.4473698068,1970.02821016029,7.10077228818248
3334,123,1422.62947528268,2976.16298924483,127.542999616572,123359.128193745,9319.21011906632,2322.26838503122,10.8742429982559
3430,127,2220.4616653998,2199.82937630139,122.047674490864,49580.677227769,9170.22212855263,1771.15387797553,19.0958260439715
3453,128,2211.25193419301,2127.50020913469,153.964321199588,80656.4300946829,8487.02932320538,1777.73583735792,17.8780924069824
3862,143,2013.61928232936,2687.32876290671,158.583882866286,80200.837012917,8413.97312148041,1693.68159570199,18.0882478782869
3938,146,2025.833796324,2626.66449355823,130.551273741362,66223.9774333812,8945.88288078662,2220.20606417893,20.1737018354378
4154,154,1967.32808270783,2638.89770037126,126.370890395918,61353.6532436394,8954.90194872073,1977.10890503975,18.3094650252238
4270,158,1450.50921696291,2982.36366923379,121.268629438416,70742.5651927474,8512.55245250973,1545.48041001656,11.55868018659
4297,159,1418.35451892104,2967.58672622011,141.99065041056,117960.534869215,8923.2661452236,2049.75653381747,12.163109519333
4551,168,2524.21962913536,2804.02382308729,120.604810683328,52482.5434597571,9194.60889278671,1509.29990101108,15.0656644020382
6088,224,1446.36650715637,2952.48759671854,130.648530998866,87733.7746685468,7984.03891608535,1728.89598567953,11.8853336489829
6755,242,1444.04505758467,2967.71995915359,135.295114050646,76362.0409347479,7890.35519527643,1751.88699547717,14.7229434332005
6787,243,1441.96325386496,2974.16560550309,111.276428896233,41398.0446340778,7780.65166735499,1462.23370464233,16.1040982802043
6856,245,1431.47302204321,2965.10153907922,113.152931833383,50585.8120175545,8315.01201042307,1605.41412587152,14.8875582258956
6897,246,1427.7316529492,2987.65992181383,127.78751059128,196750.7016011,8478.2627622383,2032.10513442264,5.99424958450149
7290,257,1444.48040127492,2996.83841478351,152.045563678022,123804.777449342,7955.43678708715,1982.88199664768,12.6977565741827
7549,265,1463.76077378371,2991.86018425219,144.212537057741,112117.472272243,8603.80451366716,1828.31622265865,11.7434931993173
7552,265,2375.97173468635,861.067022328883,141.52775282857,93619.0112190955,8394.85703287777,1675.48207096164,12.4586839341683
7553,265,2526.15182666552,2152.49688610788,90.1704736936506,47509.8939907882,8674.89058450823,1890.268562969,12.822778973282
7582,266,1449.34413951067,2971.53737635692,141.752424163143,76090.9552436178,8812.12451250502,1937.06096428361,17.7605034635036
7586,266,2530.43529171717,2125.570610341,91.1811514523072,40905.6357264885,8657.37454445469,1932.51956594654,15.4940033520874
7657,268,2511.19818792341,2135.54649265505,108.691575016823,52707.3229919514,8498.21265955183,2053.95604335505,17.0584736464166
8252,285,1437.91303099532,2992.751903689,127.774000125887,134874.922877162,9600.30367758066,2600.89681528748,11.1722165365441
8288,286,1995.6478311862,2655.43332883502,122.156839304387,152224.432029238,9827.59470790801,2521.11090915611,8.86828838739034
8289,286,2724.37105170907,646.713765889883,140.571433553224,60729.4326844966,8085.84202452721,1656.4999581567,18.7490775657068
8325,287,2011.85243851105,2633.24341034116,128.168341779104,137198.734986035,9114.53139024034,1745.66004161514,7.42339653235387
8362,288,2022.29668272175,2656.93313136458,118.708485197309,120647.743133751,9490.87975852334,2282.48647445875,9.63785790210445
8393,289,2016.18201875969,2649.96977340357,115.140035555209,94794.4892680573,8713.09708019589,2175.49305034362,11.0892389174767
8565,294,2011.9477064373,2654.3360029525,130.737372675307,77199.5688830928,9398.27785187993,2108.38405549975,16.4793872668118
8612,295,2010.94462454004,2649.40476179546,123.652263201739,127033.088343721,8553.20268333146,1889.08144090098,8.14107795580259
8645,296,1995.12798955356,2659.56796651906,138.0216092988,165021.643287462,8718.99901051464,1938.98117965939,7.82072362960741
8710,298,1735.74889424981,16.009108340244,111.181683228419,76911.085463616,10203.3556081769,1759.94372115462,10.4193004183238
8749,299,1714.86556504678,6.31170555630524,124.512119625197,72987.3284726564,8934.62011174237,1977.24236539944,14.9982166801996
8868,303,2942.8477610527,2535.42799845639,158.278561206398,80238.296594644,8494.51913495838,1704.92115299668,18.1349647564272
8887,304,1968.89372267547,2651.77659456286,152.55931662828,66836.2587573522,8710.29029213295,1632.73312882468,19.4865355769565
8911,305,2003.59958118731,2649.79126710983,128.027249492896,174163.468216848,9409.47132867429,2182.58637950696,7.29278988685208
