id,frame,x,y,sigma_nm,intensity_photon,offset_photon,bkgstd_photon,uncertainty_xy_nm
1319,47,2925.04021218359,2898.44739425122,124.442766508153,85128.3916655861,12113.9286991368,1706.25266531846,11.0935519145722
1348,48,2894.76043544086,2896.82906007691,111.76879626409,120635.143181484,11877.7054766756,2150.03408420687,8.18753078497855
1373,49,2899.32212963382,2899.09963032799,159.213639156599,164694.794977277,10996.8147984615,2258.34103628339,11.829668843744
1772,64,2902.10760357017,2832.73595072012,103.411640053959,62510.4266663778,11975.5721587594,1910.43433092321,12.3097824560822
1801,65,1605.60208750756,1793.99781345976,110.383201773487,76202.2559774787,11511.6001437567,2313.92353549246,13.6454135628885
1802,65,2931.47129961117,2861.54552089253,113.798145234414,104538.050717733,11867.451159865,2383.90225470614,10.7974460220227
1828,66,1600.281958204,1797.84232327508,105.713919329617,59528.3454218428,11356.9733613438,1838.45278516777,12.9066371674355
1829,66,2931.06066942113,2868.92664092856,130.137918793196,133972.309990683,11450.9866897326,1975.69804686598,8.83372767363834
1863,67,1650.84240216901,1801.07439467266,141.962231171974,56238.2310402805,10981.5147438472,2010.70544101067,25.0031385755405
1865,67,2915.55298636708,2897.83478454411,114.985540413068,88409.9043211505,11304.7637478037,1771.50507284594,9.66620905645663
1893,68,2908.56652565974,2881.2762532062,119.354750095535,148993.82652945,11423.6018160284,1952.97083582124,6.7476617320203
1920,69,2920.84381419803,2892.37169500409,139.992133762719,150443.924700414,10640.0720301389,2080.12519714577,9.43635401289625
1951,70,2909.75662001256,2895.64891023363,107.513935216951,110715.206237473,11965.1348523529,2004.94149122921,7.79046431705636
1978,71,2919.2421570941,2863.98896370898,117.213677117291,111865.686540275,11350.3399627907,2118.83014685136,9.44125359458502
2147,77,1310.74750655999,2284.53526023708,179.625152423357,90046.8513089356,11019.8426859577,2407.66410800028,28.8515383213946
2791,101,1628.82873235684,1781.01238998121,190.719189696064,95534.870044835,10197.0901842085,2047.17689195105,25.8910029141003
2838,103,1627.61919940734,1850.01480196173,117.912977885144,60803.8881183833,11342.8602626231,1726.33951825819,14.2977086890677
3408,126,1897.11943639655,1131.68316278591,123.098940886611,69587.6238638489,11124.6729744647,2058.14864698113,16.0476121594701
3479,129,1589.52220533112,1867.88330728121,118.752207218565,43624.617926608,11060.2512415431,1971.19112686275,23.0212444216363
3527,131,1632.3056489904,1852.74154752018,117.934144767462,92953.1892725544,13619.4191843854,3123.86047338828,16.910815447296
3554,132,1601.96285017912,1814.59592004024,126.469091976968,83259.2775200645,13612.0255935627,3158.92080569571,21.5714274579911
3579,133,1505.51708994586,1903.28088669565,330.9851116215,273383.245494195,9076.32930628097,2868.23587464065,36.747235680547
3625,135,1629.86085712936,1826.84820278002,129.086460145965,97399.776863912,11137.4157580814,2552.11947093716,15.4540839790588
3648,136,1589.93289104123,1803.68989756896,144.41372358476,97529.5455158827,11662.1220028579,2856.51068517196,21.1198802551755
3674,137,1613.58206594305,1807.86136652806,125.938802981701,64512.1419548058,9950.04317861183,1960.73796491093,17.1660148820034
4269,158,1134.55142779048,1966.73867563495,71.4061909877807,32307.9943745248,10518.1993389278,1636.12051574673,11.5056098241834
4298,159,1863.45906743135,1385.53974001703,135.15670647779,114805.127633583,10462.649870113,2232.4869802606,12.4528127241453
4390,162,2904.2630252081,2875.57350395068,109.895592123401,118227.878625486,11348.944451653,1654.74461992371,6.25585776882479
4419,163,2917.61253273541,2893.61394537704,113.951370665482,160544.089874921,11233.3875451488,1908.89956074141,5.65261521336481
4446,164,2910.13132306412,2889.99200035531,123.039147894266,160612.184921979,10854.5293950692,1970.5670377942,6.66033588012824
5150,191,2907.46330702872,2853.5674954587,114.335484980869,51196.928882231,10674.2807520002,1871.88852034769,17.4519890359984
5185,192,2894.82650867682,2891.78767351237,145.325581889259,164441.039601437,10830.8297104706,2460.07186387192,10.9192501001025
7387,260,1628.50613305488,1796.35320159579,136.808814261599,66516.5834337734,9835.32157653478,2016.8205971614,19.8398826120824
7825,273,1898.72322544444,1143.49365747964,94.3859702032152,102573.585431338,10280.8411245379,1577.20822355778,5.34404406422733
8564,294,1923.07599078725,1131.08434782153,104.143221908203,124101.10217606,10293.0954039237,1780.36363177514,5.85609136156856
8611,295,1897.37196320866,1125.5524362577,116.449661072698,93151.9547607171,10113.4943614022,2234.21500575577,11.8163011473332
8712,298,1918.55391803148,1135.69928372605,130.899986470384,93626.4378833401,10043.0364194855,1963.8735476771,12.68964376997
8751,299,1904.76032026859,1123.94823291766,100.50489705711,148772.523486608,10687.7348496906,1958.86693995027,5.06664050243082
8783,300,1889.47054044747,1109.07279523184,111.442065032747,90623.6628776362,10233.5267188643,2107.80539278949,10.6280909031104
8866,303,1913.62391242208,1151.35605950295,105.523591783803,81338.5121202318,9991.90383249955,1822.06058810219,9.33786600595734
8886,304,1930.26959736832,1127.13299123011,113.127591902178,74329.1493627672,9961.2204192792,1682.17753932383,10.6160998746549
9061,310,1871.4124811628,1186.20973604764,109.204820244248,42679.2725460564,10678.3960907008,2284.88418604676,23.6141851743653
9094,311,1920.09978961685,1120.14749291753,107.547598748032,132839.612832865,11693.8773381775,2086.08762572025,6.76042460068415
9131,312,1929.85917505536,1143.24119097052,120.124188317167,85273.2715361738,10428.2546373179,2009.52719553334,12.2550646901608
9469,323,1622.55293405885,1805.06083068844,156.185622711308,106995.540634703,10106.3057405957,2177.73912846138,16.9444214749628
9504,324,1659.81961201426,1786.42059244506,148.452057493316,119401.99340348,10111.4038536532,1985.98679131319,12.6227189065713
9544,325,1620.94005222082,1827.04565517744,131.511983620306,95770.384839023,10189.6691660669,2000.96143583657,12.7446512009142
9662,329,1926.29149241725,1134.46730092703,115.895026101889,99667.2020671129,10351.5167211967,2202.36210935454,10.7984412238871
9718,331,1914.23925450204,1149.40758894711,118.421034176051,93048.9785661113,10529.1986689322,1894.29240211969,10.3309038176526
9750,332,1877.27558665808,1119.49918992239,115.577350295006,55936.5364397356,10308.4451906366,2009.39692412158,17.4664006039622
9752,332,2732.58200214469,1947.81991835047,68.2565814805388,32218.8757525418,10245.639671879,1883.08967183515,12.4657790383838
9787,333,2734.06481571512,1977.13736752497,136.5308507043,169495.073115694,10572.9768145026,2397.86477844722,9.22728761332418
9822,334,1845.3714626236,1471.11136277095,99.4042159135497,41842.1988951965,10131.2283527658,2137.16176928537,19.2573028633983
9826,334,2730.13438480351,1998.80911587859,134.346693479609,220108.565794686,10635.0948414983,2336.9243998109,6.73136152543787
9854,335,1915.33717541542,1112.47687202594,95.1967722654781,59791.2607898385,10347.4880545744,1988.08407103325,11.6889768970865
9857,335,2733.77091393002,1988.14367640567,135.27483544742,196113.917801344,10797.1103681727,2489.56831065275,8.14451279788798
9882,336,1924.42580899232,1090.23797592611,90.0250146638673,54729.1660199891,9681.97451106093,1678.48050071273,9.86550512415975
9885,336,2757.30019561147,1996.27900661119,123.207295682335,166354.2242462,10652.2312990089,2025.75985345543,6.62591234937469
9913,337,1899.57776020874,1164.11872353108,140.438674205951,96311.3424132915,9081.06271701308,2013.46489554699,14.3436880158911
9915,337,2731.58306966339,1987.17168473273,130.069031579614,207730.650759817,10392.3038658684,1902.29345661314,5.4865685745067
9952,338,2742.23028670573,2008.93921349611,126.756395766161,179188.368348762,11285.4053901244,2282.85343167152,7.28350252798746
9986,339,2737.00742251928,1991.67393996724,128.340905079203,219058.590029779,11124.4861519222,2087.60011340894,5.57379466319634
10019,340,2722.65769590054,1983.34320163426,103.40955768034,79580.0362592419,10028.7354288209,1609.48492956702,8.15517434832601
10020,340,2926.05374418393,1137.51685568934,137.397180828083,60058.9814574697,9124.74868969605,1736.83529252053,19.0746506503228
10167,344,1911.63395365386,1132.43047816746,128.751985419857,179938.428390818,10551.113234656,2172.8159362779,7.09816611510514
10208,345,1894.39790446543,1113.67759680252,108.974057018351,67771.8375442159,10322.8487899391,2016.42832565101,13.0854095301058
10276,347,1674.59282512648,1780.80891220402,132.199111893721,87027.3223435085,10060.7521188086,1732.14644155389,12.2585556306046
10318,348,1624.57565219411,1792.38388773647,154.315682430589,58035.4790681097,9712.2642011287,2308.29781795394,32.3729881524336
10472,352,1658.44833998243,1793.39317919541,129.52172019517,81365.474854177,9198.78910739113,1760.83854189581,12.8511925635648
10514,353,1666.07134161631,1893.59627854061,163.312709278205,63771.9461192389,9064.66693733587,1924.06700855972,27.2702887613474
11442,378,2739.79301003253,1967.36551635947,129.338638503336,82306.1544014258,10536.0718381553,2122.80249646064,15.2689966483346
11483,379,2617.764289222,1986.05979756595,336.237265329838,248077.904151861,8070.87119142514,2001.29432385155,29.1564446394234
12075,396,2330.84253494879,2374.7124978053,126.274543742658,90965.6304804469,10638.350905487,1875.83749483011,11.707466360931
